_c0,event_name,event_id,event_type,trans_min,trans_max,presale_start,presale_end,pub_sale_start,pub_sale_end,event_date,event_promoter,event_attraction_ids,resaleStatus,status
0,Golden State Warriors vs. Phoenix Suns,G5vYZ98wrHxhM,Basketball,75.0,1575.0,2022-08-17T19:00:00Z,2022-10-19T02:00:00Z,2022-09-15T17:00:00Z,2023-01-11T03:30:00Z,2023-01-10,NBA REGULAR SEASON,"K8vZ9171oa0, K8vZ9171oZf",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
1,Phoenix Suns vs. Miami Heat,G5v0Z98m2fo8J,Basketball,69.0,3300.0,2022-08-17T19:30:00Z,2022-08-29T20:00:00Z,2022-08-29T20:00:00Z,2023-01-07T05:00:00Z,2023-01-06,NBA REGULAR SEASON,"K8vZ9171oZf, K8vZ9171oZ7",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
2,Brooklyn Nets vs. Phoenix Suns,Z7r9jZ1Ad4s-N,Basketball,0.0,0.0,NA,NA,1900-01-01T18:00:00Z,2023-02-08T00:30:00Z,2023-02-07,NA,"K8vZ9171o5f, K8vZ9171oZf",UNKNOWN,UNKNOWN
3,Memphis Grizzlies vs. Phoenix Suns,G5viZ983uBk29,Basketball,40.0,385.0,2022-08-17T20:00:00Z,2022-08-17T21:59:00Z,2022-08-17T22:00:00Z,2023-01-17T01:00:00Z,2023-01-16,NBA REGULAR SEASON,"K8vZ9171Kg7, K8vZ9171oZf",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
4,Milwaukee Bucks v. Phoenix Suns,vvG1jZ9KbsbPCD,Basketball,34.0,2940.0,2022-09-26T15:00:00Z,2022-10-01T04:59:00Z,2022-10-01T15:00:00Z,2023-02-26T20:00:00Z,2023-02-26,NBA REGULAR SEASON,"K8vZ91718TV, K8vZ9171oZf",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
5,Phoenix Suns vs. Brooklyn Nets,G5v0Z98m24-oh,Basketball,49.0,3150.0,2022-08-17T19:30:00Z,2022-08-29T20:00:00Z,2022-08-29T20:00:00Z,2023-01-20T05:00:00Z,2023-01-19,NBA REGULAR SEASON,"K8vZ9171oZf, K8vZ9171o5f",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
6,Golden State Warriors vs. Phoenix Suns,G5vYZ98wL73qQ,Basketball,115.0,1575.0,2022-08-17T19:00:00Z,2022-10-19T02:00:00Z,2022-09-15T17:00:00Z,2023-03-14T02:30:00Z,2023-03-13,NBA REGULAR SEASON,"K8vZ9171oa0, K8vZ9171oZf",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
7,Phoenix Suns vs. Indiana Pacers,G5v0Z98m2pooN,Basketball,55.0,2363.0,2022-08-17T19:30:00Z,2022-08-29T20:00:00Z,2022-08-29T20:00:00Z,2023-01-22T04:00:00Z,2023-01-21,NBA REGULAR SEASON,"K8vZ9171oZf, K8vZ9171o1f",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
8,Phoenix Suns vs. Memphis Grizzlies,G5v0Z98m2psoc,Basketball,64.0,2500.0,2022-08-17T19:30:00Z,2022-08-29T20:00:00Z,2022-08-29T20:00:00Z,2023-01-23T03:00:00Z,2023-01-22,NBA REGULAR SEASON,"K8vZ9171oZf, K8vZ9171Kg7",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
9,Phoenix Suns vs. Milwaukee Bucks,G5v0Z98m2qo3r,Basketball,79.0,3300.0,2022-08-17T19:30:00Z,2022-08-29T20:00:00Z,2022-08-29T20:00:00Z,2023-03-15T04:00:00Z,2023-03-14,NBA REGULAR SEASON,"K8vZ9171oZf, K8vZ91718TV",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
