Metric,Throughput
Start,2022-11-22 05:18:00 UTC
End,2022-11-23 05:18:00 UTC
Time Unit,hour


Environment,prod

2022-11-22 05:00:00,0
2022-11-22 06:00:00,0
2022-11-22 07:00:00,0
2022-11-22 08:00:00,321
2022-11-22 09:00:00,0
2022-11-22 10:00:00,0
2022-11-22 11:00:00,0
2022-11-22 12:00:00,0
2022-11-22 13:00:00,0
2022-11-22 14:00:00,0
2022-11-22 15:00:00,0
2022-11-22 16:00:00,0
2022-11-22 17:00:00,293
2022-11-22 18:00:00,19
2022-11-22 19:00:00,166.5
2022-11-22 20:00:00,0
2022-11-22 21:00:00,0
2022-11-22 22:00:00,0
2022-11-22 23:00:00,0
2022-11-23 00:00:00,0
2022-11-23 01:00:00,0
2022-11-23 02:00:00,0
2022-11-23 03:00:00,0
2022-11-23 04:00:00,0
2022-11-23 05:00:00,0


